Complexity,Loss,Equation
1,1.7670996e-5,"-0.09190261"
5,1.742756e-5,"((x0 * -0.0035320441) + -0.09122625)"
6,1.7397195e-5,"((square(x1) * -0.0033515478) + -0.09152865)"
7,1.727329e-5,"(((x1 + x0) * -0.0018321824) + -0.091568545)"
8,1.7192988e-5,"(((-44.002068 - square(x1)) - x1) * 0.0020837497)"
9,1.7050876e-5,"((((x1 + 0.4322567) * -0.0042544627) * x1) + -0.09144491)"
11,7.0228437e-13,"(((square(x2) - x0) - (x0 - square(x1))) * 0.49999544)"
13,1.6430125e-15,"((((square(x2) - x0) - (x0 - square(x1))) * 0.49999544) + -8.38947e-7)"
15,1.6349205e-16,"((((square(x2) - x0) - ((x1 * 2.9602234e-8) - square(x1))) - x0) * 0.5)"
16,1.2373182e-16,"((((square(x2) - x0) - ((square(x1) * 2.9602234e-8) - square(x1))) - x0) * 0.5)"
